,±0,±1,±2,±4,±8,±16
phi,0.18981846,0.10219502,0.07066722,0.05975634,0.0363698,0.025550418
psi,0.20467708,0.101638645,0.07804413,0.051389564,0.03792673,0.02298611
omega,0.20091261,0.1140577,0.085697375,0.057724103,0.044268828,0.026593063
tau,0.17795552,0.09803266,0.07618562,0.04887051,0.03582118,0.023734007
chi1,0.23707691,0.118316405,0.084281184,0.05907391,0.041885853,0.026052749
chi2,0.18926822,0.131357,0.11271421,0.07128721,0.047831237,0.02990335
chi3,0.17261934,0.10151488,0.0588378,0.046717424,0.028442511,0.019454429
chi4,0.18491037,0.14402771,0.095230535,0.06911672,0.059811488,0.03210742
sasa,0.22753492,0.18440337,0.14216262,0.09325279,0.062510945,0.040699188
ss,0.0142297,0.007625175,0.0068969345,0.0034591402,0.0022098941,0.0012147329
